Season,Team,Player,Role,Nationality,Prime_Rating,Season_Rating,Notes
2008,Rajasthan Royals,Shane Warne,Bowler (C),Australian,96,83,Captain-coach; 19 wickets; galvanising leader
2008,Rajasthan Royals,Sohail Tanvir,Bowler,Pakistani,80,92,Purple Cap with 22 wickets; extraordinary debut
2008,Rajasthan Royals,Munaf Patel,Bowler,Indian,72,75,14 wickets in 15 matches; reliable pacer
2008,Rajasthan Royals,Siddharth Trivedi,Bowler,Indian,65,72,13 wickets; key supporting pacer
2008,Mumbai Indians,Sanath Jayasuriya,Opener,Sri Lankan,90,88,514 runs including century; destructive opener
2008,Mumbai Indians,Rohit Sharma,Batter,Indian,90,75,Young MI player; showed early promise
2008,Mumbai Indians,Sachin Tendulkar,Batter,Indian,99,72,Icon player; below-par debut season for the format
2008,Mumbai Indians,JP Duminy,Batter,South African,78,75,Quality middle-order contribution
2008,Mumbai Indians,Kieron Pollard,All-rounder,West Indian,88,80,Young power-hitter; growing force
2008,Mumbai Indians,Harbhajan Singh,Bowler,Indian,88,82,Key spinner; early IPL leadership
2008,Mumbai Indians,Zaheer Khan,Bowler,Indian,85,82,Quality left-arm pace; experienced campaigner
2008,Mumbai Indians,Lasith Malinga,Bowler,Sri Lankan,93,85,Yorker specialist; immediately feared
2008,Mumbai Indians,Robin Uthappa,WK-Batter,Indian,80,75,Middle-order batter; showed flashes
2008,Mumbai Indians,Dwayne Bravo,All-rounder,West Indian,85,78,Death bowling specialist; early contribution
2008,Mumbai Indians,Glenn McGrath,Bowler,Australian,88,70,Legendary pacer; T20 not ideal for his style
2008,Kolkata Knight Riders,Brendon McCullum,WK-Batter,New Zealander,85,95,Historic 158* in opener; set tone for franchise
2008,Kolkata Knight Riders,Sourav Ganguly,Batter (C),Indian,88,70,Hometown hero; captain but below par
2008,Kolkata Knight Riders,Mahela Jayawardene,Batter,Sri Lankan,92,78,Elegant middle-order; inconsistent campaign
2008,Kolkata Knight Riders,Ajit Agarkar,All-rounder,Indian,75,70,Experienced all-rounder; serviceable
2008,Kolkata Knight Riders,Shoaib Akhtar,Bowler,Pakistani,88,65,Injury-hit; didn't deliver despite reputation
2008,Kolkata Knight Riders,Chris Gayle,Opener,West Indian,95,82,Powerful opening bat; early KKR stint
2008,Kolkata Knight Riders,Murali Kartik,Bowler,Indian,72,75,Left-arm spinner; useful role
2008,Kolkata Knight Riders,Ishant Sharma,Bowler,Indian,80,72,Young pacer; learning the format
2008,Kolkata Knight Riders,Umar Gul,Bowler,Pakistani,78,78,Promising pacer from Pakistan
2008,Kolkata Knight Riders,David Hussey,Batter,Australian,80,78,Useful middle-order all-rounder
2008,Kolkata Knight Riders,Sanjay Bangar,All-rounder,Indian,65,62,Serviceable but limited impact
2008,Delhi Daredevils,Virender Sehwag,Opener (C),Indian,93,85,Icon player; destructive opener for DD
2008,Delhi Daredevils,Gautam Gambhir,Opener,Indian,87,88,534 runs; consistent and classy opener
2008,Delhi Daredevils,Dinesh Karthik,WK-Batter,Indian,80,78,Quality keeper-batter in middle order
2008,Delhi Daredevils,AB de Villiers,Batter,South African,97,75,Young and raw; did not fire to full potential
2008,Delhi Daredevils,Shikhar Dhawan,Batter,Indian,88,72,Early career; showed promise for DD
2008,Delhi Daredevils,Shoaib Malik,All-rounder,Pakistani,78,75,Solid all-round contribution
2008,Delhi Daredevils,Amit Mishra,Bowler,Indian,80,82,Hat-trick hero; quality leg-spin
2008,Delhi Daredevils,Glenn McGrath,Bowler,Australian,88,72,Experienced but T20 suited him less
2008,Delhi Daredevils,Mohammad Asif,Bowler,Pakistani,82,78,Dangerous swing; useful spells
2008,Delhi Daredevils,Venugopal Rao,Batter,Indian,65,68,Useful role player
2008,Delhi Daredevils,Pradeep Sangwan,Bowler,Indian,65,68,Young left-arm pacer
2008,Kings XI Punjab,Shaun Marsh,Opener,Australian,83,95,Orange Cap winner with 616 runs; dominant
2008,Kings XI Punjab,Kumar Sangakkara,WK-Batter,Sri Lankan,94,80,Quality WK-batter in middle order
2008,Kings XI Punjab,Yuvraj Singh,Batter,Indian,92,85,Icon player; powerful middle-order bat
2008,Kings XI Punjab,Brett Lee,Bowler,Australian,88,82,Experienced pace bowler; solid contribution
2008,Kings XI Punjab,Sreesanth,Bowler,Indian,75,78,19 wickets; high-energy pacer
2008,Kings XI Punjab,Piyush Chawla,Bowler,Indian,75,78,17 wickets; quality leg-spinner
2008,Kings XI Punjab,Andrew Flintoff,All-rounder,English,85,70,Injury limited impact; great pedigree
2008,Kings XI Punjab,Ryan Harris,Bowler,Australian,75,72,Australian pace option; decent debut
2008,Kings XI Punjab,Irfan Pathan,All-rounder,Indian,80,75,Useful left-arm swing and batting
2008,Kings XI Punjab,Ramesh Powar,Bowler,Indian,65,68,Off-spin option; serviceable
2008,Kings XI Punjab,Balaji Rao,Bowler,Indian,60,62,Supporting domestic option
2008,Royal Challengers Bangalore,Rahul Dravid,Batter (C),Indian,95,65,Icon player; T20 wasn't his format
2008,Royal Challengers Bangalore,Mark Boucher,WK-Batter,South African,82,70,Quality wicketkeeper; steady contributor
2008,Royal Challengers Bangalore,Jacques Kallis,All-rounder,South African,95,78,World-class but conservative; quality nonetheless
2008,Royal Challengers Bangalore,Virat Kohli,Batter,Indian,99,70,Very young; just breaking into the team
2008,Royal Challengers Bangalore,Shivnaraine Chanderpaul,Batter,West Indian,82,68,Solid but T20 not suited to his style
2008,Royal Challengers Bangalore,Wasim Jaffer,Opener,Indian,68,62,Test specialist; struggled in T20 format
2008,Royal Challengers Bangalore,Cameron White,All-rounder,Australian,75,72,Useful lower-order all-rounder
2008,Royal Challengers Bangalore,Anil Kumble,Bowler,Indian,90,75,Experienced captain of team; useful spinner
2008,Royal Challengers Bangalore,Dale Steyn,Bowler,South African,95,78,World-class pacer; showed quality despite team's issues
2008,Royal Challengers Bangalore,Zaheer Khan,Bowler,Indian,85,80,Left-arm pace; good spells
2008,Royal Challengers Bangalore,Ashoke Dinda,Bowler,Indian,65,62,Medium pace support option
2008,Deccan Chargers,Adam Gilchrist,WK-Batter (C),Australian,93,80,436 runs; captain mid-season; aggressive start
2008,Deccan Chargers,Herschelle Gibbs,Opener,South African,80,75,Experienced opener; decent debut year
2008,Deccan Chargers,VVS Laxman,Batter (C),Indian,85,65,Original captain; injury ended season early
2008,Deccan Chargers,Rohit Sharma,Batter,Indian,90,72,Young player; showed early promise
2008,Deccan Chargers,Andrew Symonds,All-rounder,Australian,85,80,117* century; powerful when fit
2008,Deccan Chargers,Tirumalasetti Suman,Batter,Indian,65,65,Middle-order contributor
2008,Deccan Chargers,Venugopal Rao,Batter,Indian,65,65,Domestic stalwart
2008,Deccan Chargers,RP Singh,Bowler,Indian,80,82,15 wickets; key pacer for DC
2008,Deccan Chargers,Pragyan Ojha,Bowler,Indian,78,75,Left-arm spinner; consistent
2008,Deccan Chargers,Ryan Harris,Bowler,Australian,75,70,Serviceable Australian pace
2008,Deccan Chargers,Sanjay Bangar,All-rounder,Indian,65,60,Limited impact; team finished last
2009,Chennai Super Kings,Matthew Hayden,Opener,Australian,88,88,572 runs; second Orange Cap season
2009,Chennai Super Kings,Murali Vijay,Opener,Indian,82,78,Emerging opener; decent debut
2009,Chennai Super Kings,Suresh Raina,Batter,Indian,87,82,Consistent middle-order; key contributor
2009,Chennai Super Kings,MS Dhoni,WK-Batter (C),Indian,98,90,Led CSK to semi-finals; dominant captain
2009,Chennai Super Kings,Subramaniam Badrinath,Batter,Indian,75,75,Solid middle-order
2009,Chennai Super Kings,Albie Morkel,All-rounder,South African,80,80,Valuable all-round contribution
2009,Chennai Super Kings,Jacob Oram,All-rounder,New Zealander,78,72,Overseas all-rounder; decent
2009,Chennai Super Kings,Ravichandran Ashwin,Bowler,Indian,88,72,Early career; limited game time
2009,Chennai Super Kings,Muttiah Muralitharan,Bowler,Sri Lankan,95,82,14 wickets; still valuable
2009,Chennai Super Kings,Lakshmipathy Balaji,Bowler,Indian,72,75,Solid pace option
2009,Chennai Super Kings,Makhaya Ntini,Bowler,South African,80,70,Opening bowler; useful but fading
2009,Deccan Chargers,Adam Gilchrist,WK-Batter (C),Australian,93,92,Champions captain; 564 runs and 21 dismissals
2009,Deccan Chargers,Herschelle Gibbs,Opener,South African,80,82,371 runs; 11 catches; brilliant fielder-opener
2009,Deccan Chargers,Tirumalasetti Suman,Batter,Indian,65,72,237 runs; steady middle-order
2009,Deccan Chargers,Rohit Sharma,Batter,Indian,90,82,362 runs; hat-trick with ball; excellent season
2009,Deccan Chargers,Andrew Symonds,All-rounder,Australian,85,85,249 runs in 8 games; match-winner when fit
2009,Deccan Chargers,Venugopal Rao,Batter,Indian,65,68,Useful middle-order contribution
2009,Deccan Chargers,Dwayne Smith,All-rounder,West Indian,72,72,Lower-order all-rounder
2009,Deccan Chargers,RP Singh,Bowler,Indian,80,92,Purple Cap 26 wickets; championship-winning bowler
2009,Deccan Chargers,Pragyan Ojha,Bowler,Indian,78,82,18 wickets; excellent left-arm spin
2009,Deccan Chargers,Harmeet Singh,Bowler,Indian,65,68,Support spinner; decent outing
2009,Deccan Chargers,Ryan Harris,Bowler,Australian,75,72,Overseas pace support
2009,Royal Challengers Bangalore,Kevin Pietersen,Batter,English,88,82,Star signing; powerful top-order bat
2009,Royal Challengers Bangalore,Mark Boucher,WK-Batter,South African,82,75,Steady wicketkeeper
2009,Royal Challengers Bangalore,Jacques Kallis,All-rounder,South African,95,82,Quality contribution; helped RCB reach final
2009,Royal Challengers Bangalore,Virat Kohli,Batter,Indian,99,75,Young; developing; gaining experience
2009,Royal Challengers Bangalore,Ross Taylor,Batter,New Zealander,82,82,81* off 33 balls; match-winning cameos
2009,Royal Challengers Bangalore,Anil Kumble,Bowler (C),Indian,90,78,Captain; guided team to final
2009,Royal Challengers Bangalore,Robin Uthappa,Batter,Indian,80,75,Middle-order contribution
2009,Royal Challengers Bangalore,Dale Steyn,Bowler,South African,95,82,Quality pace; useful spells
2009,Royal Challengers Bangalore,Zaheer Khan,Bowler,Indian,85,78,Left-arm swing; consistent
2009,Royal Challengers Bangalore,Pradeep Sangwan,Bowler,Indian,65,65,Young left-arm pacer
2009,Royal Challengers Bangalore,RE van der Merwe,All-rounder,South African,72,72,Useful left-arm spin all-rounder
2009,Rajasthan Royals,Shane Watson,All-rounder (C),Australian,88,85,Captain after Warne; continued quality
2009,Rajasthan Royals,Graeme Smith,Opener,South African,88,80,Continued from 2008; quality opener
2009,Rajasthan Royals,Yusuf Pathan,All-rounder,Indian,82,82,Continued destructive batting
2009,Rajasthan Royals,Ravindra Jadeja,All-rounder,Indian,90,78,Growing role; showed more
2009,Rajasthan Royals,Naman Ojha,WK-Batter,Indian,70,70,Wicketkeeper option
2009,Rajasthan Royals,Shane Warne,Bowler,Australian,96,80,Less prominent; 11 wickets
2009,Rajasthan Royals,Sohail Tanvir,Bowler,Pakistani,80,82,Continued quality with the ball
2009,Rajasthan Royals,Munaf Patel,Bowler,Indian,72,72,Solid pacer
2009,Rajasthan Royals,Siddharth Trivedi,Bowler,Indian,65,70,Supporting pace
2009,Rajasthan Royals,Swapnil Asnodkar,Opener,Indian,68,72,Debut season; exciting young opener
2009,Rajasthan Royals,Pankaj Singh,Bowler,Indian,65,62,Medium-pace support
2009,Kings XI Punjab,Shaun Marsh,Opener,Australian,83,80,Another solid season; quality opener
2009,Kings XI Punjab,Kumar Sangakkara,WK-Batter,Sri Lankan,94,82,Quality contribution from the maestro
2009,Kings XI Punjab,Yuvraj Singh,Batter,Indian,92,82,Powerful middle-order bat
2009,Kings XI Punjab,Brett Lee,Bowler,Australian,88,80,Quality pace; good spells
2009,Kings XI Punjab,Piyush Chawla,Bowler,Indian,75,75,Reliable leg-spin
2009,Kings XI Punjab,Sreesanth,Bowler,Indian,75,72,Pace and aggression
2009,Kings XI Punjab,Irfan Pathan,All-rounder,Indian,80,75,Useful left-arm and batting
2009,Kings XI Punjab,David Hussey,Batter,Australian,80,78,Useful lower-middle order
2009,Kings XI Punjab,Ramesh Powar,Bowler,Indian,65,65,Off-spin option
2009,Kings XI Punjab,James Hopes,All-rounder,Australian,72,70,Australian all-round support
2009,Kings XI Punjab,Paul Valthaty,Opener,Indian,65,65,Occasional appearances
2009,Mumbai Indians,Sanath Jayasuriya,Opener,Sri Lankan,90,80,Explosive start; continued quality
2009,Mumbai Indians,Sachin Tendulkar,Batter,Indian,99,78,Improved season from 2008
2009,Mumbai Indians,JP Duminy,Batter,South African,78,78,Solid middle-order
2009,Mumbai Indians,Rohit Sharma,Batter,Indian,90,78,Young contributor before DC move
2009,Mumbai Indians,Kieron Pollard,All-rounder,West Indian,88,82,Growing power-hitter
2009,Mumbai Indians,Harbhajan Singh,Bowler,Indian,88,80,Key spinner; still banned for part of season
2009,Mumbai Indians,Lasith Malinga,Bowler,Sri Lankan,93,88,Wicket-taking machine; growing reputation
2009,Mumbai Indians,Zaheer Khan,Bowler,Indian,85,80,Left-arm quality
2009,Mumbai Indians,Ambati Rayudu,Batter,Indian,75,72,Young; minimal appearances
2009,Mumbai Indians,Dwayne Bravo,All-rounder,West Indian,85,80,Useful lower-order all-rounder
2009,Mumbai Indians,Pragyan Ojha,Bowler,Indian,78,70,Spinner; limited appearances
2009,Kolkata Knight Riders,Brendon McCullum,WK-Batter,New Zealander,85,82,Continued quality as opener
2009,Kolkata Knight Riders,Sourav Ganguly,Batter (C),Indian,88,68,Captain; declining form
2009,Kolkata Knight Riders,Chris Gayle,Opener,West Indian,95,85,Destructive top-order threat
2009,Kolkata Knight Riders,Ricky Ponting,Batter,Australian,90,75,Great pedigree; decent KKR stint
2009,Kolkata Knight Riders,Ajit Agarkar,All-rounder,Indian,75,68,Serviceable all-round
2009,Kolkata Knight Riders,David Hussey,Batter,Australian,80,78,Solid middle-order
2009,Kolkata Knight Riders,Murali Kartik,Bowler,Indian,72,72,Left-arm spin; useful
2009,Kolkata Knight Riders,Lakshmipathy Balaji,Bowler,Indian,72,70,Pace support
2009,Kolkata Knight Riders,Ishant Sharma,Bowler,Indian,80,70,Young pace; inconsistent
2009,Kolkata Knight Riders,Andrew Flintoff,All-rounder,English,85,68,Injury limited; minimal impact
2009,Kolkata Knight Riders,Piyush Chawla,Bowler,Indian,75,70,Leg-spin support
2009,Delhi Daredevils,Virender Sehwag,Opener (C),Indian,93,85,Another good season at the top
2009,Delhi Daredevils,Gautam Gambhir,Opener,Indian,87,82,Quality opener; left for KKR after
2009,Delhi Daredevils,AB de Villiers,Batter,South African,97,80,Developing; increased impact
2009,Delhi Daredevils,Shikhar Dhawan,Batter,Indian,88,75,Growing into the role
2009,Delhi Daredevils,Shoaib Malik,All-rounder,Pakistani,78,72,Useful all-round contribution
2009,Delhi Daredevils,Dinesh Karthik,WK-Batter,Indian,80,78,Wicketkeeper-batter; solid
2009,Delhi Daredevils,Tillakaratne Dilshan,Batter,Sri Lankan,82,80,Versatile batting; useful contribution
2009,Delhi Daredevils,Amit Mishra,Bowler,Indian,80,78,Quality leg-spinner
2009,Delhi Daredevils,Pradeep Sangwan,Bowler,Indian,65,68,Young left-arm pacer
2009,Delhi Daredevils,Varun Aaron,Bowler,Indian,70,65,Young rapid pacer
2009,Delhi Daredevils,Morne Morkel,Bowler,South African,82,78,Quality South African pace
2010,Chennai Super Kings,Murali Vijay,Opener,Indian,82,88,Key opener; 11 catches; excellent season
2010,Chennai Super Kings,Matthew Hayden,Opener,Australian,88,85,93* off 43 against DD; still dangerous
2010,Chennai Super Kings,Suresh Raina,Batter,Indian,87,90,520 runs; Orange Cap contender; pivotal
2010,Chennai Super Kings,MS Dhoni,WK-Batter (C),Indian,98,95,Champions; exceptional captain
2010,Chennai Super Kings,Subramaniam Badrinath,Batter,Indian,75,78,Quality middle-order
2010,Chennai Super Kings,Albie Morkel,All-rounder,South African,80,82,Crucial lower-order firepower
2010,Chennai Super Kings,Ravindra Jadeja,All-rounder,Indian,90,82,Growing all-round role
2010,Chennai Super Kings,Ravichandran Ashwin,Bowler,Indian,88,80,Rising spinner; increasingly important
2010,Chennai Super Kings,Muttiah Muralitharan,Bowler,Sri Lankan,95,82,15 wickets; final season for CSK
2010,Chennai Super Kings,Doug Bollinger,Bowler,Australian,80,88,Purple Cap winner; dominant season
2010,Chennai Super Kings,Lakshmipathy Balaji,Bowler,Indian,72,72,Supporting pace option
2010,Mumbai Indians,Sachin Tendulkar,Batter (C),Indian,99,82,Captain; team topped table but lost final
2010,Mumbai Indians,Sanath Jayasuriya,Opener,Sri Lankan,90,75,Final season; fading but still useful
2010,Mumbai Indians,Rohit Sharma,Batter,Indian,90,80,Growing contributor; improving
2010,Mumbai Indians,Ambati Rayudu,Batter,Indian,75,75,Decent middle-order contribution
2010,Mumbai Indians,Kieron Pollard,All-rounder,West Indian,88,85,Power-hitting establishing itself
2010,Mumbai Indians,Harbhajan Singh,Bowler,Indian,88,82,Key spinner; important role
2010,Mumbai Indians,Zaheer Khan,Bowler,Indian,85,82,Left-arm quality; solid season
2010,Mumbai Indians,Lasith Malinga,Bowler,Sri Lankan,93,90,Devastating; tournament's most feared
2010,Mumbai Indians,JP Duminy,Batter,South African,78,78,Middle-order support
2010,Mumbai Indians,Dwayne Bravo,All-rounder,West Indian,85,82,Death over specialist
2010,Mumbai Indians,Munaf Patel,Bowler,Indian,72,72,Pace support option
2010,Delhi Daredevils,Virender Sehwag,Opener (C),Indian,93,88,Destructive form continued
2010,Delhi Daredevils,David Warner,Opener,Australian,93,82,Debut IPL season; showed world-class potential
2010,Delhi Daredevils,AB de Villiers,Batter,South African,97,85,Quality contribution; DD competitive
2010,Delhi Daredevils,Tillakaratne Dilshan,Batter,Sri Lankan,82,80,Versatile top-order threat
2010,Delhi Daredevils,Dinesh Karthik,WK-Batter,Indian,80,78,Keeper-batter; useful
2010,Delhi Daredevils,Amit Mishra,Bowler,Indian,80,82,Quality leg-spinner; increasingly important
2010,Delhi Daredevils,Morne Morkel,Bowler,South African,82,80,Quality pace attack
2010,Delhi Daredevils,Pradeep Sangwan,Bowler,Indian,65,70,Young pacer developing
2010,Delhi Daredevils,Siddharth Trivedi,Bowler,Indian,65,68,Pace support
2010,Delhi Daredevils,Rajat Bhatia,All-rounder,Indian,65,68,Useful domestic all-rounder
2010,Delhi Daredevils,Varun Aaron,Bowler,Indian,70,70,Rapid young pacer
2010,Rajasthan Royals,Shane Watson,All-rounder,Australian,88,90,Orange Cap winner; dominant all-round
2010,Rajasthan Royals,Yusuf Pathan,All-rounder,Indian,82,85,Continued destructive form
2010,Rajasthan Royals,Ravindra Jadeja,All-rounder,Indian,90,78,Growing stature in team
2010,Rajasthan Royals,Ajinkya Rahane,Batter,Indian,82,78,Debut year; quality shown
2010,Rajasthan Royals,Naman Ojha,WK-Batter,Indian,70,70,Regular keeper option
2010,Rajasthan Royals,Shane Warne,Bowler,Australian,96,78,Less dominant; still quality
2010,Rajasthan Royals,Sohail Tanvir,Bowler,Pakistani,80,80,Still effective with the ball
2010,Rajasthan Royals,Munaf Patel,Bowler,Indian,72,72,Reliable pace
2010,Rajasthan Royals,Siddharth Trivedi,Bowler,Indian,65,68,Support pace
2010,Rajasthan Royals,Swapnil Asnodkar,Opener,Indian,68,65,Occasional contribution
2010,Rajasthan Royals,Pankaj Singh,Bowler,Indian,65,60,Backup pace
2010,Kolkata Knight Riders,Gautam Gambhir,Opener (C),Indian,87,85,New captain; rebuilding phase
2010,Kolkata Knight Riders,Chris Gayle,Opener,West Indian,95,85,Destructive top-order; big innings
2010,Kolkata Knight Riders,Jacques Kallis,All-rounder,South African,95,82,Quality all-round contribution
2010,Kolkata Knight Riders,Yusuf Pathan,All-rounder,Indian,82,80,Powerful lower-order
2010,Kolkata Knight Riders,Brendon McCullum,WK-Batter,New Zealander,85,80,Continued quality
2010,Kolkata Knight Riders,Sunil Narine,Bowler,West Indian,92,78,Very early days; developing
2010,Kolkata Knight Riders,Lakshmipathy Balaji,Bowler,Indian,72,72,Pace support
2010,Kolkata Knight Riders,Ishant Sharma,Bowler,Indian,80,72,Pace option; developing
2010,Kolkata Knight Riders,David Hussey,Batter,Australian,80,78,Useful lower-order
2010,Kolkata Knight Riders,Shakib Al Hasan,All-rounder,Bangladeshi,82,80,Valuable spin all-rounder
2010,Kolkata Knight Riders,Piyush Chawla,Bowler,Indian,75,72,Leg-spin support
2010,Kings XI Punjab,Shaun Marsh,Opener,Australian,83,80,Consistent opener; quality maintained
2010,Kings XI Punjab,Kumar Sangakkara,WK-Batter,Sri Lankan,94,82,Quality middle-order maestro
2010,Kings XI Punjab,Yuvraj Singh,Batter,Indian,92,88,Brilliant season; team competitive
2010,Kings XI Punjab,David Hussey,Batter,Australian,80,80,Solid middle-order
2010,Kings XI Punjab,Brett Lee,Bowler,Australian,88,80,Quality pace; still effective
2010,Kings XI Punjab,Piyush Chawla,Bowler,Indian,75,78,Reliable leg-spin
2010,Kings XI Punjab,Sreesanth,Bowler,Indian,75,75,Pace and aggression
2010,Kings XI Punjab,Irfan Pathan,All-rounder,Indian,80,75,Useful left-arm all-rounder
2010,Kings XI Punjab,Paul Valthaty,Opener,Indian,65,65,Occasional burst
2010,Kings XI Punjab,Ramesh Powar,Bowler,Indian,65,65,Spin support
2010,Kings XI Punjab,Mandeep Singh,Batter,Indian,65,62,Young domestic talent
2010,Royal Challengers Bangalore,Virat Kohli,Batter,Indian,99,78,Growing into T20 role; team still poor
2010,Royal Challengers Bangalore,Jacques Kallis,All-rounder,South African,95,82,Quality contribution
2010,Royal Challengers Bangalore,Kevin Pietersen,Batter,English,88,80,Power-hitting in middle-order
2010,Royal Challengers Bangalore,AB de Villiers,WK-Batter,South African,97,85,Increasingly dominant performances
2010,Royal Challengers Bangalore,Mark Boucher,WK-Batter,South African,82,72,Steady behind the stumps
2010,Royal Challengers Bangalore,Tillakaratne Dilshan,Batter,Sri Lankan,82,78,Useful batting
2010,Royal Challengers Bangalore,Dale Steyn,Bowler,South African,95,80,Quality pace
2010,Royal Challengers Bangalore,Zaheer Khan,Bowler,Indian,85,78,Left-arm quality
2010,Royal Challengers Bangalore,Anil Kumble,Bowler,Indian,90,72,Veteran spinner; reduced role
2010,Royal Challengers Bangalore,Murali Kartik,Bowler,Indian,72,70,Spin support
2010,Royal Challengers Bangalore,Pradeep Sangwan,Bowler,Indian,65,65,Young left-arm pacer
2011,Chennai Super Kings,Murali Vijay,Opener,Indian,82,85,Title-winning opener; great season
2011,Chennai Super Kings,Michael Hussey,Batter,Australian,88,90,Clutch player; crucial in back-to-back titles
2011,Chennai Super Kings,Suresh Raina,Batter,Indian,87,92,Outstanding season; back-to-back title key figure
2011,Chennai Super Kings,MS Dhoni,WK-Batter (C),Indian,98,95,Back-to-back champions; exceptional
2011,Chennai Super Kings,Subramaniam Badrinath,Batter,Indian,75,78,Solid middle-order
2011,Chennai Super Kings,Albie Morkel,All-rounder,South African,80,80,Vital lower-order finisher
2011,Chennai Super Kings,Ravindra Jadeja,All-rounder,Indian,90,82,Crucial title contribution
2011,Chennai Super Kings,Ravichandran Ashwin,Bowler,Indian,88,85,Increasingly important spinner
2011,Chennai Super Kings,Dwayne Bravo,All-rounder,West Indian,85,85,Death bowling expert; title key
2011,Chennai Super Kings,Doug Bollinger,Bowler,Australian,80,80,Solid pace option
2011,Chennai Super Kings,Shadab Jakati,Bowler,Indian,68,70,Left-arm spin support
2011,Mumbai Indians,Sachin Tendulkar,Batter (C),Indian,99,80,Iconic presence; team improving
2011,Mumbai Indians,Rohit Sharma,Batter,Indian,90,85,Rising captain; strong year
2011,Mumbai Indians,Kieron Pollard,All-rounder,West Indian,88,88,Explosive finisher; increasingly vital
2011,Mumbai Indians,Ambati Rayudu,Batter,Indian,75,78,Solid middle-order
2011,Mumbai Indians,James Franklin,All-rounder,New Zealander,72,72,Useful left-arm swing all-rounder
2011,Mumbai Indians,Harbhajan Singh,Bowler,Indian,88,82,Key spinner; important role
2011,Mumbai Indians,Lasith Malinga,Bowler,Sri Lankan,93,92,Unplayable; death bowling at its finest
2011,Mumbai Indians,Zaheer Khan,Bowler,Indian,85,80,Left-arm quality
2011,Mumbai Indians,Munaf Patel,Bowler,Indian,72,72,Pace support
2011,Mumbai Indians,Dwayne Bravo,All-rounder,West Indian,85,82,Lower-order impact
2011,Mumbai Indians,Pragyan Ojha,Bowler,Indian,78,72,Spin support option
2011,Royal Challengers Bangalore,Chris Gayle,Opener,West Indian,95,95,608 runs; Orange Cap; record-breaking season
2011,Royal Challengers Bangalore,Virat Kohli,Batter,Indian,99,82,Growing; team reached playoffs
2011,Royal Challengers Bangalore,AB de Villiers,WK-Batter,South African,97,88,World-class; increasingly dominant
2011,Royal Challengers Bangalore,Tillakaratne Dilshan,Batter,Sri Lankan,82,80,Quality top-order support
2011,Royal Challengers Bangalore,Saurabh Tiwary,Batter,Indian,72,75,Powerful young batter
2011,Royal Challengers Bangalore,Rahul Dravid,Batter,Indian,95,65,Final IPL season; below T20 standard
2011,Royal Challengers Bangalore,Daniel Vettori,All-rounder,New Zealander,80,78,Left-arm spin all-rounder
2011,Royal Challengers Bangalore,Dale Steyn,Bowler,South African,95,82,Quality pace; impactful spells
2011,Royal Challengers Bangalore,Zaheer Khan,Bowler,Indian,85,80,Left-arm quality
2011,Royal Challengers Bangalore,Muttiah Muralitharan,Bowler,Sri Lankan,95,72,Kochi Tuskers in 2011; this was his last big T20 season
2011,Royal Challengers Bangalore,Sreenath Aravind,Bowler,Indian,68,70,Young domestic pacer
2011,Kolkata Knight Riders,Gautam Gambhir,Opener (C),Indian,87,88,Culture rebuild; improving trajectory
2011,Kolkata Knight Riders,Jacques Kallis,All-rounder,South African,95,85,Consistent quality contribution
2011,Kolkata Knight Riders,Chris Gayle,Opener,West Indian,95,85,Destructive opening option
